Original Date,Original Fxer,Reassess Date,Reassessor,Prev Alp,PrevTL,Prev BTL,Rev Alp,RevTL,Rev BTL,Conf,Prev Prob 1,Prev Prob 2,Reasess P1,Reassess P2,Why change? ,Why #2?,Today Alp,Today TL,Today BTL,Conf,Tdy Prob 1,Tdy Prob 2,Tomorrow Alp,Tomorrow TL,Tomorrow BTL,Conf,Notes,,,,,,
12/23/2021,Sykes,12/24/2021,Schauer,C,M,L,C,C,M,3,Wind Slab,Deep Slab,,,Wind Fx,,C,M,L,4,Wind Slab,Deep Slab,,,,,strong winds at mid and low elevations too,,,,,,
12/24/2021,Schauer,12/25/2021,Sykes,C,M,L,C,M,L,3,Wind Slab,Deep Slab,,,,,M,M,L,4,Wind Slab,Deep Slab,,,,,,,,,,,
12/25/2021,Sykes,12/26/2021,Schauer,M,M,L,M,M,L,4,Deep Slab,None,,,,Wind Fx,M,M,L,3,Deep Slab,,,,,,Seems like 12/25 didnt need to have wind slabs as p1,,,,,,
12/26/2021,Schauer,12/27/2021,Schauer,M,M,L,M,M,L,4,Deep Slab,,,,,,M,M,M,3,Deep Slab,Wind Slab,,,,,12/26 BTL should have been MOD if rain forecast verified. Turns out LOW worked because I blew the rain fx too.,,,,,,
12/27/2021,Schauer,12/28/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/2021,,12/29/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/2021,Wagner,12/30/2021,Sykes,M,M,L,M,M,L,4,Deep Slab,,,,,,L,L,L,4,None,,,,,,deep slab as additional concern for today's Fx,,,,,,
12/30/2021,Sykes,12/31/2021,Schauer,L,L,L,L,L,L,4,None,,,,,,M,L,L,3,Wind Slab,,,,,,today may be low at all elevations if we end up on the low end of the fx storm totals,,,,,,
12/31/2021,Schauer,1/1/2022,Sykes,M,L,L,M,L,L,3,Wind Slab,,,,,,M,M,L,3,Wind Slab,,,,,,Depending on winds it may be low at treeline elevations,,,,,,
1/1/2022,Sykes,1/2/2022,,M,M,L,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2022,,1/3/2022,,M,M,L,M,M,L,3,Wind Slab,,,,,,M,L,L,4,Wind Slab,,,,,,"Winds were highly variable across fx zone, areas that saw high winds have potenital for lingering wind slabs today",,,,,,
1/3/2022,,1/4/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2022,,1/5/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2022,,1/6/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2022,,1/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2022,,1/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2022,,1/9/2022,Sykes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2022,Sykes,1/10/2022,Schauer,M,M,L,M,M,L,4,Wind Slab,,,,,,C,C,C,3,Storm Slab,,,,,,,,,,,,
1/10/2022,Schauer,1/11/2022,Schauer,C,C,C,C,C,C,4,Storm Slab,,,,,,C,M,M,4,,,,,,,,,,,,,
1/11/2022,Schauer,1/12/2022,Wagner,C,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2022,Wagner,1/13/2022,Sykes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/2022,Sykes,1/14/2022,Schauer,H,H,C,H,H,C,4,Storm Slab,,,,,,C,C,M,4,Wind Slab,Persistent Slab,,,,,"Storm delivered, large natural activity 1/13-1/14, big Aly results",,,,,,
1/14/2022,Schauer,1/15/2022,Sykes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2022,Sykes,1/16/2022,Schauer,C,C,M,C,M,L,4,Wind Slab,Persistent Slab,,,Conditions more stable than anticipated,,C,M,L,2,Persistent Slab,,,,,,,,,,,,
1/16/2022,Schauer,1/17/2022,Wagner,C,M,L,M,M,L,3,Persistent Slab,,,,,,M,M,L,4,Persistent Slab,,,,,,,,,,,,
1/17/2022,Wagner,1/18/2022,Wagner,M,M,L,M,L,L,4,Wind Slab,Persistent Slab,,,,,M,L,L,4,Wind Slab,Persistent Slab,,,,,,,,,,,
1/18/2022,Wagner,1/19/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2022,Wagner,1/20/2022,Sykes,,,,,,,,,,,,,,M,M,M,3,Wind Slab,,,,,,,,,,,,
1/20/2022,Sykes,1/21/2022,Schauer,M,M,M,C,M,M,2,Wind Slab,,,,Wind Fx,,H,C,C,4,Wind Slab,,,,,,Wind showed up earlier than wx fx was predicting,,,,,,
1/21/2022,Schauer,1/22/2022,Sykes,H,C,C,H,C,M,3,Wind Slab,,,,Conditions more stable than anticipated,,C,M,M,,,,,,,,Moist snow down low was not as reactive as anticipated on wind rolls BTL,,,,,,
1/22/2022,Sykes,1/23/2022,Schauer,C,M,M,C,M,M,5,Wind Slab,,,,,,C,M,M,5,Wind Slab,,,,,,,,,,,,
1/23/2022,Schauer,1/24/2022,Sykes,C,M,M,C,C,M,4,Wind Slab,,,,Wind Fx,,H,H,C,4,Storm Slab,,,,,,Winds started actively transporting snow at upper treeline elevations midday,,,,,,
1/24/2022,Sykes,1/25/2022,Wagner,H,H,C,H,H,C,4,Storm Slab,,,,,,C,C,M,3,Storm Slab,,,,,,,,,,,,
1/25/2022,Wagner,1/26/2022,Wagner,C,C,M,C,M,M,4,Storm Slab,,,,,,M,M,L,4,Wind Slab,,,,,,,,,,,,
1/26/2022,Wagner,1/27/2022,Sykes,M,M,L,M,M,L,3,Wind Slab,,,,,,C,C,M,3,Storm Slab,,,,,,Not sure if the storm totals will add up today. Could be mod at treeline if less snow than forecast,,,,,,
1/27/2022,Sykes,1/28/2022,Schauer,C,C,M,C,M,M,2,Wind Slab,,,,Wind Fx,,C,C,M,3,Wind Slab,,,,,,"1/27 may have been MOD at treeline. Seemed that way at Tincan, low snow totals and little wind. Storm snow sluffing. Maybe CON in Girdwood/Placer?",,,,,,
1/28/2022,Schauer,1/29/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/2022,Wagner,1/30/2022,Schauer,C,C,M,C,C,L,3,Wind Slab,,,,Old Surface,,C,M,L,3,Wind Slab,,,,,,crust up to 1000',,,,,,
1/30/2022,Schauer,1/31/2022,Schauer,C,M,L,C,M,L,4,Wind Slab,,,,,,M,M,L,,Wind Slab,,,,,,,,,,,,
1/31/2022,Schauer,2/1/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2022,Wagner,2/2/2022,Sykes,C,C,M,C,C,M,4,Wind Slab,,,,,,M,M,L,4,Wind Slab,,,,,,,,,,,,
