"Date","alp.pred","tl.pred","btl.pred","alp.ob","tl.ob","btl.ob","p1.pred","p2.pred","p3.pred","ac.pred","p1.ob","p2.ob"
1970-01-01,3,3,2,,,,"PS","SS","","",,
1970-01-01,4,4,4,,,,"PS","SS","","",,
1970-01-01,,,,,,,"","","","",,
2008-12-03,,,,,,,"","",,,,
2008-12-04,,,,,,,"","",,,,
2008-12-05,,,,,,,"","",,,,
2008-12-06,,,,,,,"","",,,,
2008-12-07,,,,,,,"","",,,,
2008-12-10,,,,,,,"","",,,,
2008-12-11,,,,,,,"","",,,,
2008-12-12,,,,,,,"","",,,,
2008-12-13,,,,,,,"","",,,,
2008-12-14,,,,,,,"","",,,,
2008-12-17,,,,,,,"","",,,,
2008-12-18,,,,,,,"","",,,,
2008-12-19,,,,,,,"","",,,,
2008-12-20,,,,,,,"","",,,,
2008-12-21,,,,,,,"","",,,,
2008-12-24,,,,,,,"","",,,,
2008-12-25,,,,,,,"","",,,,
2008-12-26,,,,,,,"","",,,,
2008-12-27,,,,,,,"","",,,,
2008-12-28,,,,,,,"","",,,,
2008-12-31,,,,,,,"","",,,,
2009-01-01,,,,,,,"","",,,,
2009-01-02,,,,,,,"","",,,,
2009-01-03,,,,,,,"","",,,,
2009-01-04,,,,,,,"","",,,,
2009-01-07,,,,,,,"","",,,,
2009-01-08,,,,,,,"","",,,,
2009-01-09,,,,,,,"","",,,,
2009-01-10,,,,,,,"","",,,,
2009-01-11,,,,,,,"","",,,,
2009-01-14,,,,,,,"","",,,,
2009-01-15,,,,,,,"","",,,,
2009-01-17,,,,,,,"","",,,,
2009-01-18,,,,,,,"","",,,,
2009-01-21,,,,,,,"","",,,,
2009-01-22,,,,,,,"","",,,,
2009-01-23,,,,,,,"","",,,,
2009-01-24,,,,,,,"","",,,,
2009-01-25,,,,,,,"","",,,,
2009-01-28,,,,,,,"","",,,,
2009-01-29,,,,,,,"","",,,,
2009-01-30,,,,,,,"","",,,,
2009-01-31,,,,,,,"","",,,,
2009-02-01,,,,,,,"","",,,,
2009-02-04,,,,,,,"","",,,,
2009-02-05,,,,,,,"","",,,,
2009-02-06,,,,,,,"","",,,,
2009-02-07,,,,,,,"","",,,,
2009-02-08,,,,,,,"","",,,,
2009-02-11,,,,,,,"","",,,,
2009-02-12,,,,,,,"","",,,,
2009-02-13,,,,,,,"","",,,,
2009-02-14,,,,,,,"","",,,,
2009-02-15,,,,,,,"","",,,,
2009-02-19,,,,,,,"","",,,,
2009-02-20,,,,,,,"","",,,,
2009-02-21,,,,,,,"","",,,,
2009-02-22,,,,,,,"","",,,,
2009-02-25,,,,,,,"","",,,,
2009-02-26,,,,,,,"","",,,,
2009-02-27,,,,,,,"","",,,,
2009-02-28,,,,,,,"","",,,,
2009-03-01,,,,,,,"","",,,,
2009-03-04,,,,,,,"","",,,,
2009-03-05,,,,,,,"","",,,,
2009-03-06,,,,,,,"","",,,,
2009-03-07,,,,,,,"","",,,,
2009-03-08,,,,,,,"","",,,,
2009-03-11,,,,,,,"","",,,,
2009-03-12,,,,,,,"","",,,,
2009-03-13,,,,,,,"","",,,,
2009-03-14,,,,,,,"","",,,,
2009-03-15,,,,,,,"","",,,,
2009-03-18,,,,,,,"","",,,,
2009-03-19,,,,,,,"","",,,,
2009-03-20,,,,,,,"","",,,,
2009-03-21,,,,,,,"","",,,,
2009-03-22,,,,,,,"","",,,,
2009-03-25,,,,,,,"","",,,,
2009-03-28,,,,,,,"","",,,,
2009-03-29,,,,,,,"","",,,,
2009-04-03,,,,,,,"","",,,,
2009-04-10,,,,,,,"","",,,,
2009-04-22,,,,,,,"","",,,,
2009-05-08,,,,,,,"","",,,,
2009-07-24,,,,,,,"","",,,,
2009-11-06,,,,,,,"","",,,,
2009-11-12,,,,,,,"","",,,,
2009-11-19,,,,,,,"","",,,,
2009-11-23,,,,,,,"","",,,,
2009-11-25,,,,,,,"","",,,,
2009-11-26,,,,,,,"","",,,,
2009-11-27,,,,,,,"","",,,,
2009-11-28,,,,,,,"","",,,,
2009-11-29,,,,,,,"","",,,,
2009-11-30,,,,,,,"","",,,,
2009-12-01,,,,,,,"","",,,,
2009-12-02,,,,,,,"","",,,,
2009-12-03,,,,,,,"","",,,,
2009-12-04,,,,,,,"","",,,,
2009-12-05,,,,,,,"","",,,,
2009-12-06,,,,,,,"","",,,,
2009-12-07,,,,,,,"","",,,,
2009-12-08,,,,,,,"","",,,,
2009-12-09,,,,,,,"","",,,,
2009-12-10,,,,,,,"","",,,,
2009-12-11,,,,,,,"","",,,,
2009-12-12,,,,,,,"","",,,,
2009-12-13,,,,,,,"","",,,,
2009-12-14,,,,,,,"","",,,,
2009-12-15,,,,,,,"","",,,,
2009-12-16,,,,,,,"","",,,,
2009-12-17,,,,,,,"","",,,,
2009-12-18,,,,,,,"","",,,,
2009-12-19,,,,,,,"","",,,,
2009-12-20,3,3,3,,,,"","",,,,
2009-12-21,3,3,3,,,,"","",,,,
2009-12-22,3,3,3,,,,"","",,,,
2009-12-23,3,3,3,,,,"","",,,,
2009-12-24,3,3,3,,,,"","",,,,
2009-12-25,3,3,3,,,,"","",,,,
2009-12-26,2,2,2,,,,"","",,,,
2009-12-27,2,2,2,,,,"","",,,,
2009-12-28,2,2,2,,,,"","",,,,
2009-12-29,1,1,1,,,,"","",,,,
2009-12-30,1,1,1,,,,"","",,,,
2009-12-31,1,1,1,,,,"","",,,,
2010-01-01,1,1,1,,,,"","",,,,
2010-01-02,1,1,1,,,,"","",,,,
2010-01-03,1,1,1,,,,"","",,,,
2010-01-04,2,2,2,,,,"","",,,,
2010-01-05,1,1,1,,,,"","",,,,
2010-01-06,2,2,2,,,,"","",,,,
2010-01-07,2,2,2,,,,"","",,,,
2010-01-08,2,2,2,,,,"","",,,,
2010-01-09,2,2,2,,,,"","",,,,
2010-01-10,1,1,1,,,,"","",,,,
2010-01-11,1,1,1,,,,"","",,,,
2010-01-12,1,1,1,,,,"","",,,,
2010-01-13,1,1,1,,,,"","",,,,
2010-01-14,1,1,1,,,,"","",,,,
2010-01-15,1,1,1,,,,"","",,,,
2010-01-16,2,2,2,,,,"","",,,,
2010-01-17,3,3,3,,,,"","",,,,
2010-01-18,3,3,3,,,,"","",,,,
2010-01-19,2,2,2,,,,"","",,,,
2010-01-20,2,2,2,,,,"","",,,,
2010-01-21,2,2,2,,,,"","",,,,
2010-01-22,2,2,2,,,,"","",,,,
2010-01-23,2,2,2,,,,"","",,,,
2010-01-24,1,1,1,,,,"","",,,,
2010-01-25,1,1,1,,,,"","",,,,
2010-01-26,1,1,1,,,,"","",,,,
2010-01-27,1,1,1,,,,"","",,,,
2010-01-28,2,2,2,,,,"","",,,,
2010-01-29,2,2,2,,,,"","",,,,
2010-01-30,2,2,2,,,,"","",,,,
2010-01-31,1,1,1,,,,"","",,,,
2010-02-01,1,1,1,,,,"","",,,,
2010-02-02,1,1,1,,,,"","",,,,
2010-02-03,1,1,1,,,,"","",,,,
2010-02-04,1,1,1,,,,"","",,,,
2010-02-05,1,1,1,,,,"","",,,,
2010-02-06,4,4,4,,,,"","",,,,
2010-02-07,3,3,3,,,,"","",,,,
2010-02-08,2,2,2,,,,"","",,,,
2010-02-09,3,3,3,,,,"","",,,,
2010-02-10,3,3,3,,,,"","",,,,
2010-02-11,3,3,3,,,,"","",,,,
2010-02-12,2,2,2,,,,"","",,,,
2010-02-13,2,2,2,,,,"","",,,,
2010-02-14,3,3,3,,,,"","",,,,
2010-02-15,4,4,4,,,,"","",,,,
2010-02-16,4,4,4,,,,"","",,,,
2010-02-17,4,4,4,,,,"","",,,,
2010-02-18,5,5,5,,,,"","",,,,
2010-02-19,4,4,4,,,,"","",,,,
2010-02-20,4,4,4,,,,"","",,,,
2010-02-21,3,3,3,,,,"","",,,,
2010-02-22,3,3,3,,,,"","",,,,
2010-02-23,2,2,2,,,,"","",,,,
2010-02-24,1,1,1,,,,"","",,,,
2010-02-25,2,2,2,,,,"","",,,,
2010-02-26,2,2,2,,,,"","",,,,
