ID,Date,Alp,TL,BTL,P1,Problem 2 Icon,P3,AddCon
4834,11/16/2018 0:00,No Rating,No Rating,No Rating,icon-avalanche.gif,NOICON.gif,,NOICON.gif
4840,11/28/2018 0:00,Considerable,Moderate,No Rating,StormSlabs.png,NOICON.gif,,NOICON.gif
4847,12/5/2018 0:00,Moderate,Low,No Rating,WindSlabs.png,PersistentSlabs.png,,NOICON.gif
4854,12/12/2018 0:00,Moderate,Moderate,Low,PersistentSlabs.png,Glide.png,,NOICON.gif
4855,12/13/2018 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
4861,12/19/2018 0:00,Moderate,Moderate,Low,WindSlabs.png,PersistentSlabs.png,,Glide.png
4862,12/20/2018 0:00,High,High,High,StormSlabs.png,PersistentSlabs.png,,NOICON.gif
18990,12/3/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
18991,12/4/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
18992,12/6/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
18993,12/5/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
18994,12/7/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
18995,12/10/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
18996,12/11/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
18997,12/12/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
18998,12/13/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
18999,12/14/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19000,12/17/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19001,12/18/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19002,12/19/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19003,12/20/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19004,12/21/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19005,12/24/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19006,12/25/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19007,12/26/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19008,12/27/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19009,12/28/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19010,12/31/2008 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19011,1/1/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19012,1/2/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19013,1/3/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19014,1/4/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19015,1/7/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19016,1/8/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19017,1/9/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19018,1/10/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19019,1/11/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19020,1/14/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19021,1/15/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19022,1/17/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19023,1/18/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19024,1/21/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19025,1/22/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19026,1/23/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19027,1/24/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19028,1/25/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19029,1/28/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19030,1/29/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19031,1/30/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19032,1/31/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19033,2/1/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19034,2/4/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19035,2/5/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19036,2/6/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19037,2/7/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19038,2/8/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19039,2/11/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19040,2/12/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19041,2/13/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19042,2/14/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19043,2/15/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19044,2/19/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19045,2/20/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19046,2/21/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19047,2/22/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19048,2/25/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19049,2/26/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19050,2/27/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19051,2/28/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19052,3/1/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19053,3/4/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19054,3/5/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19055,3/6/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19056,3/7/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19057,3/8/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19058,3/11/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19059,3/12/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19060,3/13/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19061,3/14/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19062,3/15/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19063,3/18/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19064,3/19/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19065,3/20/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19066,3/21/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19067,3/22/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19068,3/25/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19069,3/28/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19070,3/29/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19071,4/3/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19072,4/10/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19073,4/22/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19074,5/8/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19075,7/24/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19076,11/6/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19077,11/12/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19078,11/19/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19079,11/23/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19080,11/25/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19081,11/26/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19082,11/27/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19083,11/28/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19084,11/29/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19085,11/30/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19086,12/1/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19087,12/2/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19088,12/3/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19089,12/4/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19090,12/5/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19091,12/6/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19092,12/7/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19093,12/8/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19094,12/9/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19095,12/10/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19096,12/11/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19097,12/12/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19098,12/13/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19099,12/14/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19100,12/15/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19101,12/16/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19102,12/17/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19103,12/18/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19104,12/19/2009 0:00,No Rating,No Rating,No Rating,NOICON.gif,NOICON.gif,,
19105,12/20/2009 0:00,Considerable,Considerable,Considerable,NOICON.gif,NOICON.gif,,
19106,12/21/2009 0:00,Considerable,Considerable,Considerable,NOICON.gif,NOICON.gif,,
19107,12/22/2009 0:00,Considerable,Considerable,Considerable,NOICON.gif,NOICON.gif,,
19108,12/23/2009 0:00,Considerable,Considerable,Considerable,NOICON.gif,NOICON.gif,,
19109,12/24/2009 0:00,Considerable,Considerable,Considerable,NOICON.gif,NOICON.gif,,
19110,12/25/2009 0:00,Considerable,Considerable,Considerable,NOICON.gif,NOICON.gif,,
19111,12/26/2009 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19112,12/27/2009 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19113,12/28/2009 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19114,12/29/2009 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19115,12/30/2009 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19116,12/31/2009 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19117,1/1/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19118,1/2/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19119,1/3/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19120,1/4/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19121,1/5/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19122,1/6/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19123,1/7/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19124,1/8/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19125,1/9/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19126,1/10/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19127,1/11/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19128,1/12/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19129,1/13/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19130,1/14/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19131,1/15/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19132,1/16/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19133,1/17/2010 0:00,Considerable,Considerable,Considerable,NOICON.gif,NOICON.gif,,
19134,1/18/2010 0:00,Considerable,Considerable,Considerable,NOICON.gif,NOICON.gif,,
19135,1/19/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19136,1/20/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19137,1/21/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19138,1/22/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19139,1/23/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19140,1/24/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19141,1/25/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19142,1/26/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19143,1/27/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19144,1/28/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19145,1/29/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19146,1/30/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19147,1/31/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19148,2/1/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19149,2/2/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19150,2/3/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19151,2/4/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19152,2/5/2010 0:00,Low,Low,Low,NOICON.gif,NOICON.gif,,
19153,2/6/2010 0:00,High,High,High,NOICON.gif,NOICON.gif,,
19154,2/7/2010 0:00,Considerable,Considerable,Considerable,NOICON.gif,NOICON.gif,,
19155,2/8/2010 0:00,Moderate,Moderate,Moderate,NOICON.gif,NOICON.gif,,
19156,2/9/2010 0:00,Considerable,Considerable,Considerable,NOICON.gif,NOICON.gif,,
19157,2/10/2010 0:00,Considerable,Considerable,Considerable,NOICON.gif,NOICON.gif,,
19158,2/11/2010 0:00,Considerable,Considerable,Considerable,NOICON.gif,NOICON.gif,,
