id,created_at,updated_at,start_date,end_date,author,product_type,lower_danger,middle_danger,upper_danger,bottom_line,hazard_discussion
162430,2025-02-21 14:10:39,2025-02-21 15:50:53,2025-02-21 16:00:00,2025-02-22 16:00:00,John Sykes,forecast,1,2,3,"<p>Another 3-6+"" of fresh snow above 1000' combined with strong easterly winds are forming fresh wind slabs at treeline and above. Human triggered avalanches in wind loaded areas up to a foot deep are likely today. Wet loose avalanches at lower elevations and glide avalanches are additional concerns to keep in mind.</p>
<p><strong>SPECIAL ANNOUNCEMENTS:</strong></p>
<p>Free avalanche outreach events next week on the Kenai Peninsula!</p>
<p><strong>Wednesday, Feb. 26 at the Kenai River Brewery in Solodotna from 6:00 to 7:00 pm -</strong> Join forecaster Daniel Krueger to talk about the state of the snowpacks and useful backcountry tips and tricks. More info <a href=""https://www.cnfaic.org/event/cnfac-soldotna-forecaster-chat/"" target=""_blank"" rel=""noopener"">here</a>.<br><strong>Thursday, Feb. 27 at the Breeze Inn Hotel in Seward from 6:00 to 7:30 pm</strong>. Join forecaster Mik Dalpes to talk about the state of the snowpacks, mapping resources, and how to interpret stability tests. More info <a href=""https://www.cnfaic.org/event/cnfac-seward-forecaster-chat-state-of-the-snowpack-how-to-interpret-stability-tests-mapping-resources-and-more/"" target=""_blank"" rel=""noopener"">here</a>.</p>",NULL
161977,2025-02-16 5:09:23,2025-02-16 16:11:12,2025-02-16 16:00:00,2025-02-17 16:00:00,Wendy Wagner,forecast,1,2,3,"<p>Wind slab avalanches around a foot deep should be easy to trigger on steep upper elevation slopes that are being wind loaded again today. These could also release naturally due to expected light snowfall and moderate to strong easterly ridgetop winds. In areas sheltered from the wind with over 6"" of snow from the past few days a person could trigger shallow soft slab avalanches. Continuing to avoid glide cracks is key as glide avalanches are still being seen across the region.</p>",NULL
161925,2025-02-15 14:12:49,2025-02-15 15:42:47,2025-02-15 16:00:00,2025-02-16 16:00:00,John Sykes,forecast,1,2,3,"<p>A few inches of new snow combined with moderate southeast ridgetop winds formed fresh wind slabs up to a foot deep at upper elevations yesterday. Stormy weather will continue today, making natural avalanches possible and human triggered avalanches likely on wind loaded slopes. Glide avalanches have been observed across the region this week and we recommend avoiding glide cracks.&nbsp;</p>",NULL
161820,2025-02-14 14:01:45,2025-02-14 14:48:42,2025-02-14 16:00:00,2025-02-15 16:00:00,John Sykes,forecast,1,1,2,"<p>Winds are expected to pick up today and form fresh wind slabs 6-12"" deep at upper elevations. Light snowfall will accompany the increasing winds but little accumulation is expected during the day except near Portage. The fresh wind slabs could cause natural avalanches or possibly be triggered by a person. Other hazards to look out for are glide avalanches and large cornices along ridgelines.&nbsp;</p>
<p><strong>SPECIAL ANNOUNCEMENTS:</strong></p>
<p>Happy Valentine's Day! It's not too late to get your tickets for SnowBall 2025 - TODAY! The Friends of the Chugach Avalanche Center and the Alaska Avalanche School are hosting the annual Snowball to celebrate another great winter season! There will be a silent auction, hors d&rsquo;oeuvres, and live music from Wiley Post. All funds raised will benefit snow and avalanche safety in Alaska. Join us for a great night!&nbsp;<a href=""https://www.cnfaic.org/event/snowball-2025/"" target=""_blank"" rel=""noopener"">Click here </a>for more information.</p>",
161703,2025-02-13 5:03:23,2025-02-13 15:25:25,2025-02-13 16:00:00,2025-02-14 16:00:00,Andrew Schauer,forecast,1,1,1,"<p>We're expecting a shift in the weather starting this afternoon, but impacts during the day are unlikely to increase avalanche danger. Conditions are generally stable, but it is still important to maintain safe travel habits like only exposing one person at a time on steep terrain and watching partners from safe spots outside of avalanche runout zones. It is also good to be aware of and avoid active glide cracks and overhanging cornices.</p>
<p><strong>SPECIAL ANNOUNCEMENTS:</strong></p>
<p>It's not too late to get your tickets for SnowBall 2025 - this Friday! The Friends of the Chugach Avalanche Center and the Alaska Avalanche School are hosting the annual Snowball to celebrate another great winter season! There will be a silent auction, hors d&rsquo;oeuvres, and live music from Wiley Post. All funds raised will benefit snow and avalanche safety in Alaska. Join us for a great night! <a href=""https://www.cnfaic.org/event/snowball-2025/"" target=""_blank"" rel=""noopener"">Click here </a>for more information.</p>","<p>The clear weather we've seen for the past two weeks is expected to start moving out today, but impacts are looking to be minimal. We may see a slight increase in easterly winds but it is unlikely they will get strong enough to move enough snow to elevate the avalanche danger. It's been 16 days since we measured any precipitation and conditions are generally stable. However, there is a very small chance you may encounter isolated pockets of unstable snow in steep terrain. Even though the danger is low, it is still important to maintain safe travel protocol like traveling one at a time in steep terrain and watching partners from safe spots outside of avalanche runout zones.&nbsp;</p>
<p><strong>Glide Avalanches:&nbsp;</strong>We've seen a lot of glide cracks reappear over the past two weeks, and have recorded a few glide avalanches releasing. These are large and unpredictable, so the only way to manage the problem is to avoid traveling below open glide cracks.</p>
<p><strong>Cornices&nbsp;</strong>are another constant hazard. They can release naturally, or they can fail under the weight of a person. Your best bet is to avoid spending time below large cornices and to give them plenty of space if you are traveling along ridgelines.</p>"
161458,2025-02-10 4:15:05,2025-02-10 15:27:19,2025-02-10 16:00:00,2025-02-11 16:00:00,Andrew Schauer,forecast,1,1,2,"<p>Easterly winds are picking up and expected to try to move snow around in the alpine today. Although there is limited snow available for transport, we may still see fresh wind slabs forming 6 to 12"" deep at upper elevations. This will require just a little more assessment than we've gotten used to over the past two weeks of quiet weather. Watch for reactive snow in steep terrain just below ridgelines, convex rolls, or gullies.</p>
<p><strong>SPECIAL ANNOUNCEMENTS:</strong></p>
<p><strong>SnowBall 2025 is this Friday!&nbsp;</strong>The Friends of the Chugach Avalanche Center and the Alaska Avalanche School are hosting the annual Snowball to celebrate another great winter season! There will be a silent auction, hors d&rsquo;oeuvres, and live music from Wiley Post. All funds raised will benefit snow and avalanche safety in Alaska. Join us for a great night! <a href=""https://www.cnfaic.org/event/snowball-2025/"" target=""_blank"" rel=""noopener"">Click here </a>for more information.</p>",
159075,2025-01-12 4:29:45,2025-01-12 15:49:22,2025-01-12 16:00:00,2025-01-13 16:00:00,Andrew Schauer,forecast,4,4,4,"<p>We have issued a&nbsp;<strong><a href=""https://forecast.weather.gov/showsigwx.php?warnzone=AKZ102&amp;warncounty=AKC020&amp;firewxzone=AKZ101&amp;local_place1=8%20Miles%20ENE%20Knik%20Heights%20AK&amp;product1=Avalanche+Warning&amp;lat=61.13&amp;lon=-149.56"" target=""_blank"" rel=""noopener"">Backcountry Avalanche Warning</a>&nbsp;</strong>through the National Weather Service.&nbsp; Avalanche danger is&nbsp;<strong>HIGH&nbsp;</strong>at all elevations as heavy precipitation and strong winds are making very dangerous avalanche conditions with large natural avalanches very likely. These may run long distances into lower elevations.&nbsp;<strong>Travel in or below avalanche terrain is not recommended.</strong></p>
<p>__________________________________</p>
<p><strong>SPECIAL ANNOUNCEMENTS:</strong></p>
<p>There will be intermittent traffic delays Sunday January 12th, 2025 on the&nbsp;Seward Highway for Avalanche Hazard Reduction work from mileposts 38&nbsp;to 37 on the Seward Highway, at the Seward/ Sterling Wye.&nbsp;Motorists should expect delays of 45-60 minutes between 11:00 AM and&nbsp;2:00 PM.&nbsp;Updates will be posted on the 511 system. <a href=""http://511.alaska.gov/"" target=""_blank"" rel=""noopener"">http://511.alaska.gov/</a></p>",NULL
167081,2025-04-27 13:12:55,2025-04-27 14:40:17,2025-04-27 15:00:00,2025-04-28 15:00:00,John Sykes,forecast,2,2,2,"<p>Showery precipitation and moderate winds are creating fresh wind slabs up to 1' deep at upper elevations. The cloudy and wet weather overnight likely caused a weak refreeze, increasing the chances of glide avalanches or wet slabs, especially at lower elevations and in areas receiving heavier precipitation, like Portage. A weak layer buried 4 to 6' deep could cause very large avalanches, however human human-triggered avalanches on this layer are unlikely.</p>
<p>___________________________________</p>
<p><strong>SPECIAL ANNOUNCEMENTS:</strong></p>
<p><strong>Motorized Closures:&nbsp;</strong>The Chugach National Forest has closed all winter motorized use areas due to low snow coverage, except for the Turnagain Pass/Seattle Ridge area. Visit our&nbsp;<a href=""https://www.cnfaic.org/resources/riding-areas/"" target=""_blank"" rel=""noopener"">Riding Areas</a> page for more information. National Forest staff will continue to monitor snow coverage conditions to assess whether it&nbsp; will be possible to extend the opening for the Turnagain Pass zone if low elevation snow coverage allows. Motorized access in the Whittier area will be open through April 28.</p>
<p><strong>End of Season Operations:</strong> Today is the final forecast for the season!&nbsp; Thank you to everyone who helped us this season by sharing an observation, coming out for a field day, donating to our nonprofit partner the Friends of the Chugach Avalanche Center, or by simply reading the forecast. We can't tell you enough how much we appreciate all of the support from the community. Have a safe spring and summer, and we are excited to do it all again next season! We will continue publishing observations through the spring as you all submit them, so if you get out please take a few minutes to let everyone know what you're seeing by <a href=""https://www.cnfaic.org/observations/#/form"" target=""_blank"" rel=""noopener"">filling out an observation here</a>.</p>",NULL
167063,2025-04-26 3:56:55,2025-04-26 14:56:43,2025-04-26 15:00:00,2025-04-27 15:00:00,Andrew Schauer,forecast,2,2,2,"<p>A weak system is bringing scattered showers and strong easterly winds to the area today. This will make it easier to trigger a wind slab avalanche up to a foot deep at upper elevations. We are also still expecting to&nbsp; see some wet snow avalanche activity, especially at mid and lower elevations, and we're continuing to monitor a weak layer of surface hoar buried 4 to 6' deep.</p>
<p>___________________________________</p>
<p><strong>SPECIAL ANNOUNCEMENTS:</strong></p>
<p><strong>Motorized Closures:&nbsp;</strong>The Chugach National Forest has closed all winter motorized use areas due to low snow coverage, except for the Turnagain Pass/Seattle Ridge area. Visit our&nbsp;<a href=""https://www.cnfaic.org/resources/riding-areas/"" target=""_blank"" rel=""noopener"">Riding Areas</a> page for more information. National Forest staff will continue to monitor snow coverage conditions to assess whether it&nbsp; will be possible to extend the opening for the Turnagain Pass zone if low elevation snow coverage allows. Motorized access in the Whittier area will be open through April 28.</p>
<p><strong>End of Season Operations:</strong> We will issue our final forecast of the season tomorrow, Sunday, April 27.&nbsp; Thank you to everyone who helped us this season by sharing an observation, coming out for a field day, donating to our nonprofit partner the Friends of the Chugach Avalanche Center, or by simply reading the forecast. We can't tell you enough how much we appreciate all of the support from the community. Have a safe spring and summer, and we are excited to do it all again next season! We will continue publishing observations through the spring as you all submit them, so if you get out please take a few minutes to let everyone know what you're seeing by <a href=""https://www.cnfaic.org/observations/#/form"" target=""_blank"" rel=""noopener"">filling out an observation here</a>.</p>",NULL
167024,2025-04-24 12:57:43,2025-04-24 14:28:26,2025-04-24 15:00:00,2025-04-25 15:00:00,John Sykes,forecast,2,2,2,"<p>Our main concerns are large glide avalanches, wet avalanches, and cornice falls, which are a normal part of the transition to a spring snowpack. These tend to be most concerning on steep sunny slopes later in the day as the surface crust melts. These avalanches have the potential to step down to a deeper buried weak layer 4 to 6' deep and cause a much larger avalanche. On northern aspects at upper elevations, where dry snow still exists, smaller wind slab avalanches could also be a concern.</p>
<p><strong>FRIDAY AVALANCHE OUTLOOK:&nbsp;</strong>Conditions tomorrow look very similar to today. The biggest differences are the potential for less cloud cover and stronger winds, which could make wet avalanches more likely and make fresh wind slabs at upper elevations more likely.&nbsp;</p>
<p>___________________________________</p>
<p><strong>SPECIAL ANNOUNCEMENTS:</strong></p>
<p><strong>Motorized Closures:&nbsp;</strong>The Chugach National Forest has closed all winter motorized use areas due to low snow coverage, except for the Turnagain Pass/Seattle Ridge area. Visit our&nbsp;<a href=""https://www.cnfaic.org/resources/riding-areas/"" target=""_blank"" rel=""noopener"">Riding Areas</a>&nbsp;page for more information.</p>
<p><strong>End of Season Operations:</strong> We have transitioned to our late-season schedule. We will issue avalanche forecasts on Tuesday, Thursday, Saturday, and Sunday for the second half of April. We will issue our final forecast of the season on Sunday, April 27.</p>",NULL
